date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:07	67748/67748	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-108a4%22	http://amovie.gozha.net/index.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/index.html	(from )
23:59:07	3786/3786	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2008%20Dec%202019%2017:59:07%20GMT	http://amovie.gozha.net/robots.txt		(from )
23:59:09	21658/21658	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/hypev/Desktop/kinema/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://amovie.gozha.net/index.html)
23:59:10	5904/5904	---MCZ	200	added ('OK')	text/css	etag:W/%2258a59809-1710%22	http://amovie.gozha.net/css/gozha-nav.css	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/css/gozha-nav.css	(from http://amovie.gozha.net/index.html)
23:59:11	1958/1958	---M--	200	added ('OK')	text/css	etag:%2258a59809-7a6%22	http://amovie.gozha.net/css/external/jquery.selectbox.css	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/css/external/jquery.selectbox.css	(from http://amovie.gozha.net/index.html)
23:59:11	50354/50354	---MCZ	200	added ('OK')	text/css	etag:W/%2258a5980f-c4b2%22	http://amovie.gozha.net/rs-plugin/css/settings.css	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rs-plugin/css/settings.css	(from http://amovie.gozha.net/index.html)
23:59:13	1186/1186	---M--	200	added ('OK')	image/png	etag:%2258a5978d-4a2%22	http://amovie.gozha.net/images/logo.png	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/logo.png	(from http://amovie.gozha.net/index.html)
23:59:14	202757/202757	---MCZ	200	added ('OK')	text/css	etag:W/%2258a59809-31805%22	http://amovie.gozha.net/css/style.css?v=1	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/css/style3860.css	(from http://amovie.gozha.net/index.html)
23:59:14	28463/28463	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5980e-6f2f%22	http://amovie.gozha.net/js/external/modernizr.custom.js	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/js/external/modernizr.custom.js	(from http://amovie.gozha.net/index.html)
23:59:14	44396/44396	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-ad6c%22	http://amovie.gozha.net/movie-page-left.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-page-left.html	(from http://amovie.gozha.net/index.html)
23:59:16	44528/44528	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-adf0%22	http://amovie.gozha.net/movie-page-right.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-page-right.html	(from http://amovie.gozha.net/index.html)
23:59:16	40625/40625	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-9eb1%22	http://amovie.gozha.net/movie-page-full.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-page-full.html	(from http://amovie.gozha.net/index.html)
23:59:16	35214/35214	---M--	200	added ('OK')	image/jpeg	etag:%2258a5978e-898e%22	http://amovie.gozha.net/images/banners/bra.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/banners/bra.jpg	(from http://amovie.gozha.net/index.html)
23:59:16	97697/97697	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-17da1%22	http://amovie.gozha.net/movie-list-left.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-list-left.html	(from http://amovie.gozha.net/index.html)
23:59:17	94259/94259	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-17033%22	http://amovie.gozha.net/movie-list-full.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-list-full.html	(from http://amovie.gozha.net/index.html)
23:59:17	97793/97793	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-17e01%22	http://amovie.gozha.net/movie-list-right.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/movie-list-right.html	(from http://amovie.gozha.net/index.html)
23:59:17	50153/50153	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-c3e9%22	http://amovie.gozha.net/single-cinema.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/single-cinema.html	(from http://amovie.gozha.net/index.html)
23:59:17	28032/28032	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59807-6d80%22	http://amovie.gozha.net/cinema-list.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/cinema-list.html	(from http://amovie.gozha.net/index.html)
23:59:17	30679/30679	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-77d7%22	http://amovie.gozha.net/trailer.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/trailer.html	(from http://amovie.gozha.net/index.html)
23:59:18	30130/30130	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-75b2%22	http://amovie.gozha.net/rates-left.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rates-left.html	(from http://amovie.gozha.net/index.html)
23:59:18	30229/30229	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-7615%22	http://amovie.gozha.net/rates-right.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rates-right.html	(from http://amovie.gozha.net/index.html)
23:59:18	28600/28600	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-6fb8%22	http://amovie.gozha.net/rates-full.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/rates-full.html	(from http://amovie.gozha.net/index.html)
